sample_index,sample_id,system_id,replica
0,1k5n_A_R1,1k5n_A,1
1,1k5n_A_R2,1k5n_A,2
2,1k5n_A_R3,1k5n_A,3
3,1bzy_A_R1,1bzy_A,1
4,1bzy_A_R2,1bzy_A,2
5,1bzy_A_R3,1bzy_A,3
6,4zya_A_R1,4zya_A,1
7,4zya_A_R2,4zya_A,2
8,4zya_A_R3,4zya_A,3
9,4xqm_A_R1,4xqm_A,1
10,4xqm_A_R2,4xqm_A,2
11,4xqm_A_R3,4xqm_A,3
12,1tzw_A_R1,1tzw_A,1
13,1tzw_A_R2,1tzw_A,2
14,1tzw_A_R3,1tzw_A,3
15,2glz_B_R1,2glz_B,1
16,2glz_B_R2,2glz_B,2
17,2glz_B_R3,2glz_B,3
18,3ga3_A_R1,3ga3_A,1
19,3ga3_A_R2,3ga3_A,2
20,3ga3_A_R3,3ga3_A,3
21,4geh_A_R1,4geh_A,1
22,4geh_A_R2,4geh_A,2
23,4geh_A_R3,4geh_A,3
24,7fd1_A_R1,7fd1_A,1
25,7fd1_A_R2,7fd1_A,2
26,7fd1_A_R3,7fd1_A,3
27,2vri_A_R1,2vri_A,1
28,2vri_A_R2,2vri_A,2
29,2vri_A_R3,2vri_A,3
30,3jsy_B_R1,3jsy_B,1
31,3jsy_B_R2,3jsy_B,2
32,3jsy_B_R3,3jsy_B,3
33,6o2v_A_R1,6o2v_A,1
34,6o2v_A_R2,6o2v_A,2
35,6o2v_A_R3,6o2v_A,3
36,7ead_A_R1,7ead_A,1
37,7ead_A_R2,7ead_A,2
38,7ead_A_R3,7ead_A,3
39,6j56_A_R1,6j56_A,1
40,6j56_A_R2,6j56_A,2
41,6j56_A_R3,6j56_A,3
42,6rrv_A_R1,6rrv_A,1
43,6rrv_A_R2,6rrv_A,2
44,6rrv_A_R3,6rrv_A,3
45,6kty_A_R1,6kty_A,1
46,6kty_A_R2,6kty_A,2
47,6kty_A_R3,6kty_A,3
48,6vjg_A_R1,6vjg_A,1
49,6vjg_A_R2,6vjg_A,2
50,6vjg_A_R3,6vjg_A,3
51,6l4l_A_R1,6l4l_A,1
52,6l4l_A_R2,6l4l_A,2
53,6l4l_A_R3,6l4l_A,3
54,7lao_A_R1,7lao_A,1
55,7lao_A_R2,7lao_A,2
56,7lao_A_R3,7lao_A,3
57,7qsu_A_R1,7qsu_A,1
58,7qsu_A_R2,7qsu_A,2
59,7qsu_A_R3,7qsu_A,3
