sample_index,sample_id,system_id,replica,rmsd_valid,rmsd_value,rg_valid,rg_value,sasa_valid,sasa_value,helix_valid,helix_value,strand_valid,strand_value
0,1k5n_A_R1,1k5n_A,1,1,11.06147206822663,1,27.10489807007858,1,16547.468712539448,0,,0,
1,1k5n_A_R2,1k5n_A,2,0,,1,24.188888095204007,1,16305.244494226932,1,0.27254528985507248,1,0.3986956521739129
2,1k5n_A_R3,1k5n_A,3,1,4.9290716308468161,0,,1,16620.960754927888,1,0.26443134365020882,1,0.392397445345124
3,1bzy_A_R1,1bzy_A,1,0,,1,18.410482418978525,1,12400.376582695031,1,0.29563538109604481,1,0.328796870337831
4,1bzy_A_R2,1bzy_A,2,0,,0,,1,11907.502107304344,0,,0,
5,1bzy_A_R3,1bzy_A,3,1,2.09549218061529,1,17.893406147539448,1,11801.599969245241,1,0.2962158808933002,1,0.29397081413210441
6,4zya_A_R1,4zya_A,1,0,,1,13.008190553022242,0,,1,0.2866272049945518,1,0.16838943369555609
7,4zya_A_R2,4zya_A,2,1,2.152099257416308,0,,0,,1,0.26274883417740558,1,0.153236724665296
8,4zya_A_R3,4zya_A,3,1,1.7596921750294992,0,,1,6086.8722887611711,1,0.23775778786914639,1,0.1670378619153674
9,4xqm_A_R1,4xqm_A,1,0,,0,,1,5849.2556980119925,1,0.0297272686892017,1,0.60329587349531388
10,4xqm_A_R2,4xqm_A,2,1,1.2225823324042115,0,,1,5977.8933452057472,1,0.033043999858861597,1,0.60654175928866305
11,4xqm_A_R3,4xqm_A,3,1,1.207049476340593,0,,1,5962.6341277403653,1,0.032782482958066399,1,0.59692212352819674
12,1tzw_A_R1,1tzw_A,1,1,1.2608221074597317,0,,1,8728.1138454789489,1,0.72382584480265633,1,0
13,1tzw_A_R2,1tzw_A,2,1,3.5731477439260173,0,,1,9400.5692022886742,1,0.69268611670020119,1,0
14,1tzw_A_R3,1tzw_A,3,1,1.1554575350056502,1,15.18796872822413,1,8814.0756133891773,1,0.72143002945207479,1,0
15,2glz_B_R1,2glz_B,1,1,2.1569451410100684,1,16.500060891437926,0,,1,0.42183613858522762,1,0.18873272022673371
16,2glz_B_R2,2glz_B,2,1,2.192782345742188,1,16.602689089293072,0,,1,0.42002932921558911,1,0.18573551263001481
17,2glz_B_R3,2glz_B,3,1,2.1648916522933859,0,,0,,1,0.42735042735042728,1,0.184242500418971
18,3ga3_A_R1,3ga3_A,1,0,,0,,1,9148.6922934696486,0,,0,
19,3ga3_A_R2,3ga3_A,2,1,2.813492100978034,0,,0,,1,0.14234835208321539,1,0.36589123183899591
20,3ga3_A_R3,3ga3_A,3,1,3.1580805005644987,1,15.303546182820298,1,9074.297071681638,0,,0,
21,4geh_A_R1,4geh_A,1,1,3.7445019159665418,0,,0,,1,0.73209315740139869,1,0
22,4geh_A_R2,4geh_A,2,0,,0,,0,,0,,0,
23,4geh_A_R3,4geh_A,3,1,6.0144692801025466,1,18.834180335026456,1,12864.49447863639,1,0.72959109457421312,1,0
24,7fd1_A_R1,7fd1_A,1,0,,0,,0,,1,0.26787487586891751,1,0.12670398122235249
25,7fd1_A_R2,7fd1_A,2,0,,0,,1,6675.6448268990453,1,0.25538983430990492,1,0.12505256665451789
26,7fd1_A_R3,7fd1_A,3,0,,0,,0,,0,,0,
27,2vri_A_R1,2vri_A,1,0,,1,16.295203899615576,1,9847.2633539477138,1,0.35932266966749721,1,0.1799024730059213
28,2vri_A_R2,2vri_A,2,1,3.0856021110102239,0,,0,,1,0.36177170035671818,1,0.18570815167129071
29,2vri_A_R3,2vri_A,3,0,,0,,1,9553.0883034053604,1,0.3608620689655172,1,0.18287356321839079
30,3jsy_B_R1,3jsy_B,1,1,4.4837235283785084,1,22.329115249808961,0,,0,,0,
