outer_fold,hidden_size,num_layers,dropout,learning_rate,weight_decay,trainer_seed,parameter_count,inner_best_epochs,final_epochs,mean_inner_best_valid_loss,median_inner_best_valid_loss,outer_test_used
1,512,1,0.0,0.001,0.0001,20260811,804357,93;24;22;70;92,70,0.13201068639755248,0.13525548577308655,False
2,512,1,0.0,0.001,0.0001,20260811,804357,10;43;103;11;388,43,0.2657531134784222,0.04484250023961067,False
3,512,1,0.0,0.001,0.0001,20260811,804357,10;85;75;11;111,75,0.27278913334012034,0.05649320408701897,False
4,512,1,0.0,0.001,0.0001,20260811,804357,10;31;89;11;78,31,0.2721591331064701,0.057552188634872437,False
5,512,1,0.0,0.001,0.0001,20260811,804357,10;26;85;12;181,26,0.27624719217419624,0.06261824071407318,False
6,512,1,0.0,0.001,0.0001,20260811,804357,11;285;71;11;199,71,0.24501625522971154,0.05340774729847908,False
7,512,1,0.0,0.001,0.0001,20260811,804357,10;270;148;11;105,105,0.23738308846950532,0.05376376584172249,False
8,512,1,0.0,0.001,0.0001,20260811,804357,14;46;90;10;102,46,0.3477858081459999,0.07433831691741943,False
9,512,1,0.0,0.001,0.0001,20260811,804357,11;285;88;11;108,88,0.254570984095335,0.05956445261836052,False
10,512,1,0.0,0.001,0.0001,20260811,804357,10;25;88;11;114,25,0.2582539513707161,0.07283316552639008,False
11,512,1,0.0,0.001,0.0001,20260811,804357,10;112;119;11;56,56,0.2526046562939882,0.0729270726442337,False
12,512,1,0.0,0.001,0.0001,20260811,804357,10;26;74;11;209,26,0.26112614944577217,0.06301538646221161,False
13,512,1,0.0,0.001,0.0001,20260811,804357,10;45;88;11;108,45,0.2664273135364056,0.07137461006641388,False
14,512,1,0.0,0.001,0.0001,20260811,804357,11;43;93;118;105,93,0.25710528865456583,0.061511121690273285,False
15,512,1,0.0,0.001,0.0001,20260811,804357,10;45;100;102;105,100,0.26384385824203493,0.07038547098636627,False
16,512,1,0.0,0.001,0.0001,20260811,804357,10;60;98;41;91,60,0.2799299815669656,0.0736001580953598,False
17,512,1,0.0,0.001,0.0001,20260811,804357,10;44;86;11;164,44,0.25900429859757423,0.054667990654706955,False
18,512,1,0.0,0.001,0.0001,20260811,804357,11;46;103;11;159,46,0.26889905482530596,0.04950907453894615,False
19,512,1,0.0,0.001,0.0001,20260811,804357,10;89;94;95;159,94,0.2510139986872673,0.048907168209552765,False
20,512,1,0.0,0.001,0.0001,20260811,804357,10;45;86;98;144,86,0.286499185860157,0.06783518195152283,False
