outer_fold,selected_optimizer_seed,inner_fitness,hidden_size,num_layers,dropout,learning_rate,weight_decay,parameter_count,candidate_key,source_search,source_summary_sha256,outer_test_used
1,20260811,0.13201068639755248,512,1,0.0,0.001,0.0001,804357,fixed_h512_l1_d0_lr0.001_wd0.0001,capacity_matched_fixed_control,not_applicable,False
2,20260811,0.2657531134784222,512,1,0.0,0.001,0.0001,804357,fixed_h512_l1_d0_lr0.001_wd0.0001,capacity_matched_fixed_control,not_applicable,False
3,20260811,0.27278913334012034,512,1,0.0,0.001,0.0001,804357,fixed_h512_l1_d0_lr0.001_wd0.0001,capacity_matched_fixed_control,not_applicable,False
4,20260811,0.2721591331064701,512,1,0.0,0.001,0.0001,804357,fixed_h512_l1_d0_lr0.001_wd0.0001,capacity_matched_fixed_control,not_applicable,False
5,20260811,0.27624719217419624,512,1,0.0,0.001,0.0001,804357,fixed_h512_l1_d0_lr0.001_wd0.0001,capacity_matched_fixed_control,not_applicable,False
6,20260811,0.24501625522971154,512,1,0.0,0.001,0.0001,804357,fixed_h512_l1_d0_lr0.001_wd0.0001,capacity_matched_fixed_control,not_applicable,False
7,20260811,0.23738308846950532,512,1,0.0,0.001,0.0001,804357,fixed_h512_l1_d0_lr0.001_wd0.0001,capacity_matched_fixed_control,not_applicable,False
8,20260811,0.3477858081459999,512,1,0.0,0.001,0.0001,804357,fixed_h512_l1_d0_lr0.001_wd0.0001,capacity_matched_fixed_control,not_applicable,False
9,20260811,0.254570984095335,512,1,0.0,0.001,0.0001,804357,fixed_h512_l1_d0_lr0.001_wd0.0001,capacity_matched_fixed_control,not_applicable,False
10,20260811,0.2582539513707161,512,1,0.0,0.001,0.0001,804357,fixed_h512_l1_d0_lr0.001_wd0.0001,capacity_matched_fixed_control,not_applicable,False
11,20260811,0.2526046562939882,512,1,0.0,0.001,0.0001,804357,fixed_h512_l1_d0_lr0.001_wd0.0001,capacity_matched_fixed_control,not_applicable,False
12,20260811,0.26112614944577217,512,1,0.0,0.001,0.0001,804357,fixed_h512_l1_d0_lr0.001_wd0.0001,capacity_matched_fixed_control,not_applicable,False
13,20260811,0.2664273135364056,512,1,0.0,0.001,0.0001,804357,fixed_h512_l1_d0_lr0.001_wd0.0001,capacity_matched_fixed_control,not_applicable,False
14,20260811,0.25710528865456583,512,1,0.0,0.001,0.0001,804357,fixed_h512_l1_d0_lr0.001_wd0.0001,capacity_matched_fixed_control,not_applicable,False
15,20260811,0.26384385824203493,512,1,0.0,0.001,0.0001,804357,fixed_h512_l1_d0_lr0.001_wd0.0001,capacity_matched_fixed_control,not_applicable,False
16,20260811,0.2799299815669656,512,1,0.0,0.001,0.0001,804357,fixed_h512_l1_d0_lr0.001_wd0.0001,capacity_matched_fixed_control,not_applicable,False
17,20260811,0.25900429859757423,512,1,0.0,0.001,0.0001,804357,fixed_h512_l1_d0_lr0.001_wd0.0001,capacity_matched_fixed_control,not_applicable,False
18,20260811,0.26889905482530596,512,1,0.0,0.001,0.0001,804357,fixed_h512_l1_d0_lr0.001_wd0.0001,capacity_matched_fixed_control,not_applicable,False
19,20260811,0.2510139986872673,512,1,0.0,0.001,0.0001,804357,fixed_h512_l1_d0_lr0.001_wd0.0001,capacity_matched_fixed_control,not_applicable,False
20,20260811,0.286499185860157,512,1,0.0,0.001,0.0001,804357,fixed_h512_l1_d0_lr0.001_wd0.0001,capacity_matched_fixed_control,not_applicable,False
