target,unit,proposed,comparator,n_proteins,mean_abs_error_delta,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_statistic,p_raw,negative_delta_favors_proposed,p_holm,holm_reject_0_05
rmsd,A,gru_fixed_h512,gru_fixed_h32,18,-0.03228663509444919,-0.12558825736781665,0.07128380656931921,65.0,0.39273834228515625,True,0.7854766845703125,False
rg,A,gru_fixed_h512,gru_fixed_h32,16,-0.4811669129357621,-0.9291995278190113,-0.11732100961662903,28.0,0.03863525390625,True,0.1811695098876953,False
sasa,A2,gru_fixed_h512,gru_fixed_h32,19,-286.80498331535216,-719.4047510566187,84.88025106194107,76.0,0.4653167724609375,True,0.7854766845703125,False
helix,fraction,gru_fixed_h512,gru_fixed_h32,20,-0.00800772196498278,-0.02011034135913978,0.004350053824282461,67.0,0.16495704650878906,True,0.4948711395263672,False
strand,fraction,gru_fixed_h512,gru_fixed_h32,20,-0.0090491518619445,-0.01566513710820123,-0.0025948189173337576,49.0,0.03623390197753906,True,0.1811695098876953,False
rmsd,A,gru_fixed_h512,gru_improved_gwo,18,-0.08234611836026177,-0.19924532810676965,0.02319763341052396,64.0,0.3692169189453125,True,0.738433837890625,False
rg,A,gru_fixed_h512,gru_improved_gwo,16,-0.0019474948920609192,-0.1584586086055398,0.17641631572057034,56.0,0.5618896484375,True,0.738433837890625,False
sasa,A2,gru_fixed_h512,gru_improved_gwo,19,336.0869173162149,79.8079947705084,615.0401688865494,38.0,0.020412445068359375,True,0.061237335205078125,False
helix,fraction,gru_fixed_h512,gru_improved_gwo,20,0.01229412942582599,0.004525520997357176,0.021794741139852875,29.0,0.0031528472900390625,True,0.01261138916015625,True
strand,fraction,gru_fixed_h512,gru_improved_gwo,20,0.012628854789510119,0.004933609811253319,0.022581481023050808,24.0,0.0014324188232421875,True,0.0071620941162109375,True
rmsd,A,gru_fixed_h512,ridge_summary,18,-0.045043164910024774,-0.22116836220488742,0.12956228332057565,71.0,0.550872802734375,True,0.550872802734375,False
rg,A,gru_fixed_h512,ridge_summary,16,0.281692011550977,0.04831482751068289,0.537259404903343,36.0,0.104583740234375,True,0.20916748046875,False
sasa,A2,gru_fixed_h512,ridge_summary,19,376.8023084384004,166.3335542323696,591.6191504079154,26.0,0.003917694091796875,True,0.0156707763671875,True
helix,fraction,gru_fixed_h512,ridge_summary,20,0.019036297500788092,0.010194595940470503,0.02928979856458875,16.0,0.0003223419189453125,True,0.0016117095947265625,True
strand,fraction,gru_fixed_h512,ridge_summary,20,0.013193173445729345,0.002204336943543194,0.02810819572796664,48.0,0.03276824951171875,True,0.09830474853515625,False
