method,outer_fold,optimizer_seed,best_fitness,hidden_size,num_layers,dropout,learning_rate,weight_decay,parameter_count,selected_evaluation_index,unique_candidate_count,cache_hit_count,best_numerical_penalty_folds,outer_test_used
random_search,1,20260811,0.1175771951675415,512,1,0.0,0.0014217159692230202,0.0003405197430893043,804357,22,30,0,0,False
random_search,1,20260812,0.15420301258563995,512,1,0.0,0.0006072293663885876,1.6522462584725166e-06,804357,8,30,0,0,False
random_search,1,20260813,0.12085854262113571,512,2,0.2,0.0007525486830658387,3.018128356876732e-06,2380293,14,30,0,0,False
random_search,2,20260811,0.23528023809194565,320,2,0.1,0.0007312227925414011,2.9830987897566364e-05,934725,23,30,0,0,False
random_search,2,20260812,0.26314226910471916,224,2,0.3,0.002181527126004962,0.00039639694926533255,460773,21,30,0,0,False
random_search,2,20260813,0.22160402238368987,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,21,30,0,0,False
random_search,3,20260811,0.2441529482603073,320,2,0.1,0.0007312227925414011,2.9830987897566364e-05,934725,23,30,0,0,False
random_search,3,20260812,0.2650607004761696,160,1,0.0,0.0026433985573806095,0.00048688363961443023,82405,9,30,0,0,False
random_search,3,20260813,0.23089113757014273,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,21,30,0,0,False
random_search,4,20260811,0.24256783574819565,320,2,0.1,0.0007312227925414011,2.9830987897566364e-05,934725,23,30,0,0,False
random_search,4,20260812,0.255333649367094,384,1,0.0,0.0010873182415588897,2.1048208140819806e-06,455813,16,30,0,0,False
random_search,4,20260813,0.21599202714860438,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,21,30,0,0,False
random_search,5,20260811,0.2532747656106949,320,2,0.1,0.0007312227925414011,2.9830987897566364e-05,934725,23,30,0,0,False
random_search,5,20260812,0.2780761748552322,160,1,0.0,0.0026433985573806095,0.00048688363961443023,82405,9,30,0,0,False
random_search,5,20260813,0.23746101334691047,512,2,0.2,0.0007525486830658387,3.018128356876732e-06,2380293,14,30,0,0,False
random_search,6,20260811,0.23205191418528556,320,2,0.1,0.0007312227925414011,2.9830987897566364e-05,934725,23,30,0,0,False
random_search,6,20260812,0.25856669545173644,384,1,0.0,0.0010873182415588897,2.1048208140819806e-06,455813,16,30,0,0,False
random_search,6,20260813,0.1953645519912243,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,21,30,0,0,False
random_search,7,20260811,0.22611249573528766,320,2,0.1,0.0007312227925414011,2.9830987897566364e-05,934725,23,30,0,0,False
random_search,7,20260812,0.25448534786701205,160,1,0.0,0.0026433985573806095,0.00048688363961443023,82405,9,30,0,0,False
random_search,7,20260813,0.18390546701848506,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,21,30,0,0,False
random_search,8,20260811,0.2347114972770214,512,1,0.0,0.0034707645021716704,0.0009425309681041228,804357,19,30,0,0,False
random_search,8,20260812,0.2844175033271313,160,1,0.0,0.0026433985573806095,0.00048688363961443023,82405,9,30,0,0,False
random_search,8,20260813,0.24351103007793426,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,21,30,0,0,False
random_search,9,20260811,0.22850687690079213,512,1,0.0,0.0034707645021716704,0.0009425309681041228,804357,19,30,0,0,False
random_search,9,20260812,0.26976534724235535,384,1,0.0,0.0010873182415588897,2.1048208140819806e-06,455813,16,30,0,0,False
random_search,9,20260813,0.18512615635991098,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,21,30,0,0,False
random_search,10,20260811,0.2373438235372305,512,1,0.0,0.0034707645021716704,0.0009425309681041228,804357,19,30,0,0,False
random_search,10,20260812,0.2654704496264458,384,1,0.0,0.0010873182415588897,2.1048208140819806e-06,455813,16,30,0,0,False
random_search,10,20260813,0.19203950762748717,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,21,30,0,0,False
random_search,11,20260811,0.18560178987681866,512,1,0.0,0.0014217159692230202,0.0003405197430893043,804357,22,30,0,0,False
random_search,11,20260812,0.2620011633262038,384,1,0.0,0.0010873182415588897,2.1048208140819806e-06,455813,16,30,0,0,False
random_search,11,20260813,0.20135742090642453,512,2,0.2,0.0007525486830658387,3.018128356876732e-06,2380293,14,30,0,0,False
random_search,12,20260811,0.252732415497303,320,2,0.1,0.0007312227925414011,2.9830987897566364e-05,934725,23,30,0,0,False
random_search,12,20260812,0.27984561771154404,512,1,0.0,0.0006072293663885876,1.6522462584725166e-06,804357,8,30,0,0,False
random_search,12,20260813,0.20584416687488555,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,21,30,0,0,False
random_search,13,20260811,0.24258814454078675,320,2,0.1,0.0007312227925414011,2.9830987897566364e-05,934725,23,30,0,0,False
random_search,13,20260812,0.27069287598133085,160,1,0.0,0.0026433985573806095,0.00048688363961443023,82405,9,30,0,0,False
random_search,13,20260813,0.19100726395845413,320,1,0.0,0.003132300112476501,3.7620576179057654e-05,318405,21,30,0,0,False
