outer_fold,optimizer_seed,fitness,hidden_size,num_layers,dropout,learning_rate,weight_decay,parameter_count,candidate_key,algorithmic_evaluations,cache_hits,actual_candidate_trainings,actual_inner_fold_trainings,outer_test_used
1,20260811,0.115254607796669,512,2,0.3,0.001179601170056728,0.00013026516056643944,2380293,"{""dropout"":0.3,""hidden_size"":512,""learning_rate"":0.001179601170056728,""num_layers"":2,""weight_decay"":0.00013026516056643944}",30,3,27,135,False
1,20260812,0.1104189172387123,512,2,0.3,0.002123218514536621,5.314150134214065e-05,2380293,"{""dropout"":0.3,""hidden_size"":512,""learning_rate"":0.002123218514536621,""num_layers"":2,""weight_decay"":5.314150134214065e-05}",30,3,27,135,False
1,20260813,0.13561228066682815,320,2,0.0,0.003743833507287047,0.00015070757672200086,934725,"{""dropout"":0.0,""hidden_size"":320,""learning_rate"":0.003743833507287047,""num_layers"":2,""weight_decay"":0.00015070757672200086}",30,3,27,135,False
2,20260811,0.21418965756893157,384,2,0.2,0.001018714767801008,5.3491258773642774e-06,1342853,"{""dropout"":0.2,""hidden_size"":384,""learning_rate"":0.001018714767801008,""num_layers"":2,""weight_decay"":5.3491258773642774e-06}",30,3,27,135,False
2,20260812,0.22699118591845036,512,2,0.2,0.0008438733836962425,0.00018593647865367382,2380293,"{""dropout"":0.2,""hidden_size"":512,""learning_rate"":0.0008438733836962425,""num_layers"":2,""weight_decay"":0.00018593647865367382}",30,3,27,135,False
2,20260813,0.21435413733124734,384,2,0.3,0.0008906451880606737,3.412854611376831e-06,1342853,"{""dropout"":0.3,""hidden_size"":384,""learning_rate"":0.0008906451880606737,""num_layers"":2,""weight_decay"":3.412854611376831e-06}",30,3,27,135,False
3,20260811,0.21823936328291893,384,2,0.0,0.0018642252506292586,8.597115032741786e-06,1342853,"{""dropout"":0.0,""hidden_size"":384,""learning_rate"":0.0018642252506292586,""num_layers"":2,""weight_decay"":8.597115032741786e-06}",30,3,27,135,False
3,20260812,0.24425409585237504,512,2,0.0,0.0004378358800518137,0.001,2380293,"{""dropout"":0.0,""hidden_size"":512,""learning_rate"":0.0004378358800518137,""num_layers"":2,""weight_decay"":0.001}",30,3,27,135,False
3,20260813,0.2211155503988266,384,2,0.1,0.0010284801086257523,6.473718457794099e-06,1342853,"{""dropout"":0.1,""hidden_size"":384,""learning_rate"":0.0010284801086257523,""num_layers"":2,""weight_decay"":6.473718457794099e-06}",30,3,27,135,False
4,20260811,0.221870493888855,384,2,0.4,0.0012615571113065304,6.05417110403267e-06,1342853,"{""dropout"":0.4,""hidden_size"":384,""learning_rate"":0.0012615571113065304,""num_layers"":2,""weight_decay"":6.05417110403267e-06}",30,3,27,135,False
