outer_fold,optimizer_seed,fitness,hidden_size,num_layers,dropout,learning_rate,weight_decay,parameter_count,candidate_key,algorithmic_evaluations,cache_hits,actual_candidate_trainings,actual_inner_fold_trainings,outer_test_used
1,20260812,0.1104189172387123,512,2,0.3,0.002123218514536621,5.314150134214065e-05,2380293,"{""dropout"":0.3,""hidden_size"":512,""learning_rate"":0.002123218514536621,""num_layers"":2,""weight_decay"":5.314150134214065e-05}",30,3,27,135,False
2,20260811,0.21418965756893157,384,2,0.2,0.001018714767801008,5.3491258773642774e-06,1342853,"{""dropout"":0.2,""hidden_size"":384,""learning_rate"":0.001018714767801008,""num_layers"":2,""weight_decay"":5.3491258773642774e-06}",30,3,27,135,False
3,20260811,0.21823936328291893,384,2,0.0,0.0018642252506292586,8.597115032741786e-06,1342853,"{""dropout"":0.0,""hidden_size"":384,""learning_rate"":0.0018642252506292586,""num_layers"":2,""weight_decay"":8.597115032741786e-06}",30,3,27,135,False
4,20260811,0.221870493888855,384,2,0.4,0.0012615571113065304,6.05417110403267e-06,1342853,"{""dropout"":0.4,""hidden_size"":384,""learning_rate"":0.0012615571113065304,""num_layers"":2,""weight_decay"":6.05417110403267e-06}",30,3,27,135,False
5,20260811,0.22668419033288956,384,2,0.3,0.0012067096080637574,8.65008896257596e-06,1342853,"{""dropout"":0.3,""hidden_size"":384,""learning_rate"":0.0012067096080637574,""num_layers"":2,""weight_decay"":8.65008896257596e-06}",30,3,27,135,False
6,20260811,0.2029832608997822,512,2,0.0,0.0005674092111455028,0.001,2380293,"{""dropout"":0.0,""hidden_size"":512,""learning_rate"":0.0005674092111455028,""num_layers"":2,""weight_decay"":0.001}",30,3,27,135,False
7,20260811,0.1957275725901127,512,2,0.0,0.0005674092111455028,0.001,2380293,"{""dropout"":0.0,""hidden_size"":512,""learning_rate"":0.0005674092111455028,""num_layers"":2,""weight_decay"":0.001}",30,3,27,135,False
8,20260812,0.24295880571007727,512,1,0.0,0.0021778689533019603,0.00010180000779252663,804357,"{""dropout"":0.0,""hidden_size"":512,""learning_rate"":0.0021778689533019603,""num_layers"":1,""weight_decay"":0.00010180000779252663}",30,3,27,135,False
9,20260811,0.21298529729247093,512,2,0.1,0.0005334273846182367,0.001,2380293,"{""dropout"":0.1,""hidden_size"":512,""learning_rate"":0.0005334273846182367,""num_layers"":2,""weight_decay"":0.001}",30,3,27,135,False
10,20260811,0.2078738570213318,512,2,0.0,0.0005674092111455028,0.001,2380293,"{""dropout"":0.0,""hidden_size"":512,""learning_rate"":0.0005674092111455028,""num_layers"":2,""weight_decay"":0.001}",30,3,27,135,False
11,20260812,0.19943155609071256,512,2,0.3,0.0006949458193611508,0.000248123670016715,2380293,"{""dropout"":0.3,""hidden_size"":512,""learning_rate"":0.0006949458193611508,""num_layers"":2,""weight_decay"":0.000248123670016715}",30,3,27,135,False
12,20260811,0.19779521226882935,512,1,0.0,0.0020868614038249828,1.3970650202574943e-05,804357,"{""dropout"":0.0,""hidden_size"":512,""learning_rate"":0.0020868614038249828,""num_layers"":1,""weight_decay"":1.3970650202574943e-05}",30,3,27,135,False
13,20260812,0.1861501857638359,512,1,0.0,0.0021778689533019603,0.00010180000779252663,804357,"{""dropout"":0.0,""hidden_size"":512,""learning_rate"":0.0021778689533019603,""num_layers"":1,""weight_decay"":0.00010180000779252663}",30,3,27,135,False
14,20260811,0.2042803332209587,512,2,0.2,0.0009006700127817787,0.001,2380293,"{""dropout"":0.2,""hidden_size"":512,""learning_rate"":0.0009006700127817787,""num_layers"":2,""weight_decay"":0.001}",30,3,27,135,False
15,20260812,0.21448255516588688,512,2,0.3,0.0006949458193611508,0.000248123670016715,2380293,"{""dropout"":0.3,""hidden_size"":512,""learning_rate"":0.0006949458193611508,""num_layers"":2,""weight_decay"":0.000248123670016715}",30,3,27,135,False
16,20260812,0.2099854949861765,512,1,0.0,0.0021778689533019603,0.00010180000779252663,804357,"{""dropout"":0.0,""hidden_size"":512,""learning_rate"":0.0021778689533019603,""num_layers"":1,""weight_decay"":0.00010180000779252663}",30,3,27,135,False
17,20260813,0.2089608319103718,512,2,0.0,0.0007807160308457086,2.4505463620765514e-06,2380293,"{""dropout"":0.0,""hidden_size"":512,""learning_rate"":0.0007807160308457086,""num_layers"":2,""weight_decay"":2.4505463620765514e-06}",30,3,27,135,False
18,20260811,0.16598953641951084,512,2,0.2,0.0017733968026015067,6.150917330593129e-06,2380293,"{""dropout"":0.2,""hidden_size"":512,""learning_rate"":0.0017733968026015067,""num_layers"":2,""weight_decay"":6.150917330593129e-06}",30,3,27,135,False
19,20260812,0.18145452365279197,512,1,0.0,0.0021778689533019603,0.00010180000779252663,804357,"{""dropout"":0.0,""hidden_size"":512,""learning_rate"":0.0021778689533019603,""num_layers"":1,""weight_decay"":0.00010180000779252663}",30,3,27,135,False
20,20260812,0.1776064984500408,512,1,0.0,0.0021778689533019603,0.00010180000779252663,804357,"{""dropout"":0.0,""hidden_size"":512,""learning_rate"":0.0021778689533019603,""num_layers"":1,""weight_decay"":0.00010180000779252663}",30,3,27,135,False
