target,unit,proposed,comparator,n_proteins,mean_abs_error_delta,ci_low,ci_high,negative_favors_proposed,proposed_better_fraction
rmsd,A,gru_improved_gwo,gru_fixed_h32,18,0.05005948326581258,-0.0625773942674938,0.16234281893688243,True,0.5
rmsd,A,gru_improved_gwo,ridge_summary,18,0.03730295345023699,-0.15480028585611072,0.25141660762281354,True,0.4444444444444444
rg,A,gru_improved_gwo,gru_fixed_h32,16,-0.47921941804370116,-0.88926840963449,-0.10269579117241821,True,0.75
rg,A,gru_improved_gwo,ridge_summary,16,0.2836395064430379,-0.028800576068741982,0.6284104111078825,True,0.375
sasa,A2,gru_improved_gwo,gru_fixed_h32,19,-622.8919006315671,-1148.2397864377601,-199.9192859519601,True,0.7368421052631579
sasa,A2,gru_improved_gwo,ridge_summary,19,40.71539112218551,-142.0585413415617,206.73618375070325,True,0.3684210526315789
helix,fraction,gru_improved_gwo,gru_fixed_h32,20,-0.020301851390808773,-0.03347867880402388,-0.008096144483514471,True,0.8
helix,fraction,gru_improved_gwo,ridge_summary,20,0.0067421680749621005,0.0005591267378019442,0.013103005216815181,True,0.15
strand,fraction,gru_improved_gwo,gru_fixed_h32,20,-0.02167800665145462,-0.03477316637075362,-0.011617796363690841,True,0.85
strand,fraction,gru_improved_gwo,ridge_summary,20,0.0005643186562192245,-0.005612416680014806,0.007608349909482584,True,0.65
