model,target,unit,n_proteins,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high,r2,pearson
ridge_summary,rmsd,A,18,0.5958885420462479,0.27827932440731357,1.048366117339499,1.0566596645380513,0.3919802571578098,1.6792949416940817,0.4916372083837113,0.7053959018529206
gru_fixed_h32,rmsd,A,18,0.5831320122306722,0.259158707462112,1.0713781222530914,1.0848725921172877,0.3622501541736981,1.7565079913353685,0.4641281154109048,0.7152476943388675
gru_improved_gwo,rmsd,A,18,0.6331914954964848,0.30203114645440393,1.1268787940620117,1.1271848110280216,0.3898636506685004,1.8187797527524634,0.42151280164018623,0.6517787277204271
ridge_summary,rg,A,16,0.3749947058869644,0.2530796894936783,0.5280717974998455,0.4704994962067493,0.30480619020170774,0.6565511382531222,0.9812055942121749,0.9908172419618574
gru_fixed_h32,rg,A,16,1.1378536303737035,0.7481841625458692,1.7099303120251508,1.529445533778963,0.8255620218614754,2.295699589106771,0.8014004293918255,0.907464516818022
gru_improved_gwo,rg,A,16,0.6586342123300023,0.3776945669455391,0.9887197499219402,0.9087608897462244,0.5040743193884111,1.2520635019022177,0.9298852273578327,0.967730629102063
ridge_summary,sasa,A2,19,407.5086308069844,261.34843983513014,562.5896881535265,527.9922518691986,365.25858540558096,665.4524546601391,0.9786540384640258,0.9903064820224139
gru_fixed_h32,sasa,A2,19,1071.1159225607369,639.5837897247563,1595.0208757104185,1513.8792630765763,835.5847940882088,2101.7226350138217,0.8245137458296973,0.9169254560273803
gru_improved_gwo,sasa,A2,19,448.22402192916996,265.2187773141747,664.4792358509725,634.2047566005737,358.13356587311745,867.2900565828234,0.9692022057297941,0.9861663231301371
ridge_summary,helix,fraction,20,0.014019585514743787,0.008744501485465505,0.02017578709428928,0.01915115107357431,0.012272637587915384,0.025075947342482932,0.9891016154362238,0.9945776140841439
gru_fixed_h32,helix,fraction,20,0.041063604980514666,0.026702777016799174,0.05776892467959001,0.054621004154818235,0.03360949714024108,0.07452131172485423,0.9113473496016115,0.9573804966953222
gru_improved_gwo,helix,fraction,20,0.02076175358970589,0.014610788829090952,0.027534889627550727,0.02568169819963515,0.017763528607224095,0.03250459232157907,0.9804016350722919,0.9902978708227752
ridge_summary,strand,fraction,20,0.018524805393809397,0.013222071867247092,0.024337526663774558,0.022473745489667015,0.01635565209870649,0.028381041020967925,0.97880122258035,0.9893537194631414
gru_fixed_h32,strand,fraction,20,0.04076713070148325,0.025516595078846564,0.061961415840424736,0.0585884964836802,0.03155000485802993,0.0874974619643179,0.8559263347875435,0.9271469697665242
gru_improved_gwo,strand,fraction,20,0.019089124050028623,0.010933670623917893,0.029013215316709143,0.02837997353472524,0.014076143450419253,0.040446046810713725,0.9661947719014868,0.9841024031509613
