model,target,unit,n_replicas,mae,rmse,r2,pearson
ridge_summary,rmsd,A,34,0.7773217195250492,1.2380389212340726,0.5187661012561585,0.7209053466519934
gru_fixed_h32,rmsd,A,34,0.7448072864701887,1.4076127316800755,0.377908899704819,0.6343776789138508
gru_improved_gwo,rmsd,A,34,0.7128622822618441,1.4409048078652704,0.3481341997701449,0.5950042903282885
ridge_summary,rg,A,25,0.458230777526568,0.5567731910269006,0.9741191316593663,0.9877573134508632
gru_fixed_h32,rg,A,25,1.1981852218554194,1.7554396301876922,0.7427271191856768,0.8740217598430544
gru_improved_gwo,rg,A,25,0.7303066207021085,1.02626825002522,0.9120685977885447,0.9638749109664648
ridge_summary,sasa,A2,35,513.3336827104207,636.9397368990471,0.9657321939458974,0.9843622293931306
gru_fixed_h32,sasa,A2,35,1172.2434262681343,1644.5097512897878,0.7715650671945742,0.8876351872810907
gru_improved_gwo,sasa,A2,35,495.7140697695165,676.2842196839429,0.9613679175302026,0.9825819447454273
ridge_summary,helix,fraction,43,0.017884412301413487,0.023135333232873808,0.9857126673147822,0.9930111427021607
gru_fixed_h32,helix,fraction,43,0.042684285730594004,0.059558123162155266,0.9053148991814121,0.9573518042605615
gru_improved_gwo,helix,fraction,43,0.022046194754102324,0.027917773496055856,0.9791953124555683,0.9900274932986174
ridge_summary,strand,fraction,43,0.018894172813436385,0.022414144695907825,0.9811307012208704,0.9907158830234866
gru_fixed_h32,strand,fraction,43,0.04194179547753025,0.06321532762502505,0.8499084630107084,0.9270062313841911
gru_improved_gwo,strand,fraction,43,0.02050241975117643,0.029485859985262135,0.9673458023857988,0.9856348227836615
