target,proposed,comparator,n_proteins,mean_abs_error_delta,bootstrap_ci_low,bootstrap_ci_high,bootstrap_ci_excludes_zero,proposed_better_fraction,wilcoxon_statistic,p_raw,holm_family,negative_delta_favors_proposed,p_holm,holm_reject_0_05
rmsd,last_value_persistence,gru_fixed_h32,18,-0.058539905076428846,-0.3009194716886317,0.1664810907978607,False,0.4444444444444444,85.0,1.0,last_value_persistence_vs_gru_fixed_h32_five_targets,True,1.0,False
rg,last_value_persistence,gru_fixed_h32,16,-0.864032254669055,-1.4129935008940795,-0.43835208555198585,True,0.875,8.0,0.000762939453125,last_value_persistence_vs_gru_fixed_h32_five_targets,True,0.00152587890625,True
sasa,last_value_persistence,gru_fixed_h32,19,-885.1496261157552,-1419.2588819900013,-436.34903906085896,True,0.8421052631578947,12.0,0.00026702880859375,last_value_persistence_vs_gru_fixed_h32_five_targets,True,0.001068115234375,True
helix,last_value_persistence,gru_fixed_h32,20,-0.02769562752612137,-0.044585552543897934,-0.013385989631958936,True,0.85,17.0,0.0003948211669921875,last_value_persistence_vs_gru_fixed_h32_five_targets,True,0.0011844635009765625,True
strand,last_value_persistence,gru_fixed_h32,20,-0.031037985875151587,-0.05222740741718675,-0.01559624374325515,True,0.9,12.0,0.000133514404296875,last_value_persistence_vs_gru_fixed_h32_five_targets,True,0.000667572021484375,True
rmsd,last_value_persistence,ridge_summary,18,-0.07129643489200443,-0.30019313469061165,0.14345499463077,False,0.5,81.0,0.8650436401367188,last_value_persistence_vs_ridge_summary_five_targets,True,1.0,False
rg,last_value_persistence,ridge_summary,16,-0.10117333018231589,-0.29208014035272306,0.11480950526061423,False,0.625,41.0,0.17535400390625,last_value_persistence_vs_ridge_summary_five_targets,True,0.52606201171875,False
sasa,last_value_persistence,ridge_summary,19,-221.54233436200263,-394.49355042387106,-68.9031967971016,True,0.5789473684210527,49.0,0.06628799438476562,last_value_persistence_vs_ridge_summary_five_targets,True,0.2651519775390625,False
helix,last_value_persistence,ridge_summary,20,-0.0006516080603504931,-0.006031483134085831,0.0047935144461229455,False,0.55,89.0,0.5705966949462891,last_value_persistence_vs_ridge_summary_five_targets,True,1.0,False
strand,last_value_persistence,ridge_summary,20,-0.008795660567477727,-0.014514488330173126,-0.0031044143663917297,True,0.7,37.0,0.009435653686523438,last_value_persistence_vs_ridge_summary_five_targets,True,0.04717826843261719,True
rmsd,last_value_persistence,gru_improved_gwo,18,-0.1085993883422414,-0.3776543435708204,0.13041817088237445,False,0.5555555555555556,75.0,0.6705245971679688,last_value_persistence_vs_gru_improved_gwo_five_targets,True,0.6705245971679688,False
rg,last_value_persistence,gru_improved_gwo,16,-0.3848128366253538,-0.7001126709089318,-0.10743733989845262,True,0.6875,29.0,0.0443115234375,last_value_persistence_vs_gru_improved_gwo_five_targets,True,0.1599578857421875,False
sasa,last_value_persistence,gru_improved_gwo,19,-262.25772548418814,-497.9348644855221,-62.000314516212036,True,0.631578947368421,40.0,0.025821685791015625,last_value_persistence_vs_gru_improved_gwo_five_targets,True,0.12910842895507812,False
helix,last_value_persistence,gru_improved_gwo,20,-0.007393776135312592,-0.01691591555407601,0.002867842062118299,False,0.7,58.0,0.082550048828125,last_value_persistence_vs_gru_improved_gwo_five_targets,True,0.16510009765625,False
strand,last_value_persistence,gru_improved_gwo,20,-0.009359979223696952,-0.01840901151090763,-0.001764605388663135,True,0.7,50.0,0.039989471435546875,last_value_persistence_vs_gru_improved_gwo_five_targets,True,0.1599578857421875,False
rmsd,ridge_alpha_nested,ridge_summary,18,-0.09599984105536179,-0.2897712413934033,0.010004551503350445,False,0.16666666666666666,11.0,0.6120898800892568,ridge_alpha_nested_vs_ridge_summary_five_targets,True,1.0,False
rg,ridge_alpha_nested,ridge_summary,16,-0.0052794439734397125,-0.036730692676110406,0.02345284247519597,False,0.1875,14.0,1.0,ridge_alpha_nested_vs_ridge_summary_five_targets,True,1.0,False
sasa,ridge_alpha_nested,ridge_summary,19,34.917088257973774,-113.49511002115153,215.41139463441786,False,0.10526315789473684,7.0,0.45808823471581006,ridge_alpha_nested_vs_ridge_summary_five_targets,True,1.0,False
helix,ridge_alpha_nested,ridge_summary,20,0.0032728727079851297,3.506737592658266e-05,0.00891381483034788,True,0.15,6.5,0.05780400959318357,ridge_alpha_nested_vs_ridge_summary_five_targets,True,0.28902004796591785,False
strand,ridge_alpha_nested,ridge_summary,20,0.0009668408251991706,-0.0008541080273620234,0.003343259719087413,False,0.3,35.5,0.7834084780748578,ridge_alpha_nested_vs_ridge_summary_five_targets,True,1.0,False
