model,target,unit,n_proteins,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high,r2,pearson
trained_mean,rmsd,A,18,1.092320181355682,0.6729885023910448,1.6567904980387689,1.5739158422415271,0.7802654793964078,2.3741260255811274,-0.1278893874725242,-0.9822026307050011
last_value_persistence,rmsd,A,18,0.5245921071542434,0.29528759174665614,0.8567485794544195,0.8082080002613703,0.3831604163555218,1.2489533209766013,0.7025939582028833,0.9179900134218427
ridge_alpha_nested,rmsd,A,18,0.499888700990886,0.2741114149385044,0.7788601220337624,0.7432189558050293,0.38587268414895765,1.0770001250111285,0.7485005426313884,0.8680912166166492
trained_mean,rg,A,16,3.259626509551434,2.369831854013658,4.186238373772968,3.7457706949505005,2.8289133064360037,4.604103759196428,-0.19122184541080078,-0.9387495211372061
last_value_persistence,rg,A,16,0.2738213757046485,0.1416302264775083,0.44660005609952885,0.414417133968912,0.1959937186232369,0.6233080899147674,0.9854190547326317,0.9938718224428723
ridge_alpha_nested,rg,A,16,0.36971526191352466,0.24243664455860908,0.5275527704247345,0.47179114406441314,0.29149198202467297,0.6648293547574572,0.9811022611548185,0.9909705923460012
trained_mean,sasa,A2,19,3194.65395545428,2362.5650878793213,4186.693208316576,3799.5242958285776,2679.0801389673343,4889.3133422495775,-0.1053990207072848,-0.8818028491598439
last_value_persistence,sasa,A2,19,185.96629644498177,109.73715390888808,286.88004159675313,271.7234483399968,137.38834518873603,403.8738206277754,0.9943465330389394,0.9973072344236745
ridge_alpha_nested,sasa,A2,19,442.4257190649581,281.5684039438149,627.9953453879442,584.1891852213129,377.00593524838894,776.1371622045855,0.9738683008639736,0.9885350348024062
trained_mean,helix,fraction,20,0.14787251788263675,0.09591497365006674,0.20514978700573544,0.1947027646158,0.12531980184133992,0.25338059333911067,-0.12646214156023738,-0.9644875329396275
last_value_persistence,helix,fraction,20,0.013367977454393299,0.007407337720254516,0.021186463508549077,0.020665722125161577,0.009531189490630018,0.03120950980837885,0.9873096519010627,0.9954425419218221
ridge_alpha_nested,helix,fraction,20,0.017292458222728922,0.010731621472380487,0.024823890381525045,0.023661558151602886,0.014728090718696749,0.03184964293059666,0.9833636118499757,0.9916745912513766
trained_mean,strand,fraction,20,0.1356767719908729,0.09680113135960196,0.17701437860258934,0.16388762705884888,0.11736383508284139,0.2067256644580285,-0.12733303236076488,-0.9607513594864274
last_value_persistence,strand,fraction,20,0.00972914482633167,0.005097646551569003,0.01692748101961149,0.017170554283783616,0.00645894118585188,0.02765876855861853,0.9876254752634238,0.9946982545802124
ridge_alpha_nested,strand,fraction,20,0.01949164621900857,0.013519702316751378,0.025584346818039096,0.023942750368639572,0.017445671480254315,0.02973182167119634,0.9759393157736217,0.9879045506500519
