model,target,unit,n_replicas,mae,rmse,r2,pearson
trained_mean,rmsd,A,34,1.2180536273323934,1.8681127838353038,-0.09570539620262553,-0.8368471269073823
last_value_persistence,rmsd,A,34,0.6305409083011293,1.2038590725113627,0.5449711679873895,0.8104836946113804
ridge_alpha_nested,rmsd,A,34,0.7085794057811015,1.1754469980962752,0.5661958343339477,0.7544079768222993
trained_mean,rg,A,25,3.2334584258964436,3.7217591012952633,-0.1564283515242748,-0.939609375882042
last_value_persistence,rg,A,25,0.33801487280925196,0.5197864553868448,0.9774434783728903,0.9900525864718674
ridge_alpha_nested,rg,A,25,0.45071844886710916,0.5659913802693313,0.9732550465282307,0.9873415391199432
trained_mean,sasa,A2,35,3064.1253587796336,3663.3561349362194,-0.13356882520372038,-0.9137313243199203
last_value_persistence,sasa,A2,35,221.95454513681048,325.1570163867711,0.9910694980087776,0.9958466819171025
ridge_alpha_nested,sasa,A2,35,509.13780992087686,631.7321358114096,0.9662902484688176,0.9849569857843246
trained_mean,helix,fraction,43,0.15508740545195873,0.2058171205701066,-0.13073968587866291,-0.9735273098014351
last_value_persistence,helix,fraction,43,0.017449364741641802,0.025976894945409203,0.9819874949756633,0.9927219092694985
ridge_alpha_nested,helix,fraction,43,0.020379675659657284,0.026714548764161784,0.980949984878287,0.9905610542916031
trained_mean,strand,fraction,43,0.14288115085498126,0.17363645652629603,-0.1323827568822944,-0.9729458160841592
last_value_persistence,strand,fraction,43,0.011059491121552202,0.016835378406259125,0.9893547176830909,0.9951348567211968
ridge_alpha_nested,strand,fraction,43,0.01920702066091895,0.023341871350409774,0.9795363659391835,0.9899233752785953
